,root1_en,root1_id,root2_en,root2_id,root3_en,root3_id
201,Seoul,2297418,Jongno-gu,2419946,Sungin 2(i)-dong,3883994
202,Seoul,2297418,Jung-gu,2419947,Sindang 5(o)-dong,3884103
203,Seoul,2297418,Jung-gu,2419947,Yaksu-dong,3884094
204,Seoul,2297418,Jung-gu,2419947,Sogong-dong,3884092
205,Seoul,2297418,Jung-gu,2419947,Sindang-dong,3884093
206,Seoul,2297418,Jung-gu,2419947,Pil-dong,3884099
207,Seoul,2297418,Jung-gu,2419947,Myeong-dong,3884091
208,Seoul,2297418,Jung-gu,2419947,Jungnim-dong,3884097
209,Seoul,2297418,Jung-gu,2419947,Jangchung-dong,3884096
210,Seoul,2297418,Jung-gu,2419947,Hwanghak-dong,3884100
211,Seoul,2297418,Jung-gu,2419947,Hoehyeon-dong,3884101
212,Seoul,2297418,Jung-gu,2419947,Gwanghui-dong,3884088
213,Seoul,2297418,Jung-gu,2419947,Euljiro-dong,3884095
214,Seoul,2297418,Jung-gu,2419947,Donghwa-dong,3884090
215,Seoul,2297418,Jung-gu,2419947,Dasan-dong,3884089
216,Seoul,2297418,Jung-gu,2419947,Cheonggu-dong,3884098
217,Seoul,2297418,Yongsan-gu,2419955,Yongmun-dong,3884157
218,Seoul,2297418,Yongsan-gu,2419955,Wonhyoro 1(il)-dong,3884159
219,Seoul,2297418,Yongsan-gu,2419955,Seobinggo-dong,3884156
220,Seoul,2297418,Yongsan-gu,2419955,Namyeong-dong,3884154
221,Seoul,2297418,Yongsan-gu,2419955,Itaewon-dong,3884161
222,Seoul,2297418,Yongsan-gu,2419955,Ichon-dong,3884160
223,Seoul,2297418,Yongsan-gu,2419955,Hyochang-dong,3884166
224,Seoul,2297418,Yongsan-gu,2419955,Huam-dong,3884167
225,Seoul,2297418,Yongsan-gu,2419955,Hannam-dong,3884164
226,Seoul,2297418,Yongsan-gu,2419955,Hangangno-dong,3884163
227,Seoul,2297418,Yongsan-gu,2419955,Cheongpa-dong,3884162
228,Seoul,2297418,Yongsan-gu,2419955,Bogwang-dong,3884155
229,Seoul,2297418,Seongdong-gu,2419953,WangsimniDoseon-dong,3882081
230,Seoul,2297418,Seongdong-gu,2419953,Wangsimni 2(i)-dong,3882080
231,Seoul,2297418,Seongdong-gu,2419953,Majang-dong,3882064
232,Seoul,2297418,Seongdong-gu,2419953,Sageun-dong,3882065
233,Seoul,2297418,Seongdong-gu,2419953,Haengdang 1(il)-dong,3882082
234,Seoul,2297418,Seongdong-gu,2419953,Haengdang 2(i)-dong,3882083
235,Seoul,2297418,Seongdong-gu,2419953,Eungbong-dong,3882071
236,Seoul,2297418,Seongdong-gu,2419953,Geumho 1(il)-ga-dong,3882074
237,Seoul,2297418,Seongdong-gu,2419953,Geumho 2·3(i·sam)-ga-dong,3882075
238,Seoul,2297418,Seongdong-gu,2419953,Geumho 4(sa)-ga-dong,3882076
239,Seoul,2297418,Seongdong-gu,2419953,Oksu-dong,3882068
240,Seoul,2297418,Seongdong-gu,2419953,Seongsu 1(il)-ga 1(il)-dong,3882077
241,Seoul,2297418,Seongdong-gu,2419953,Seongsu 2(i)-ga 1(il)-dong,3882078
242,Seoul,2297418,Seongdong-gu,2419953,Seongsu 2(i)-ga 3(sam)-dong,3882079
243,Seoul,2297418,Seongdong-gu,2419953,Seongsu 1(il)-ga 1(il)-dong,3882073
244,Seoul,2297418,Seongdong-gu,2419953,Songjeong-dong,3882067
245,Seoul,2297418,Seongdong-gu,2419953,Yongdap-dong,3882070
246,Seoul,2297418,Dongdaemun-gu,2419941,Imun 1(il)-dong,3882170
247,Seoul,2297418,Dongdaemun-gu,2419941,Imun 2(i)-dong,3882171
248,Seoul,2297418,Dongdaemun-gu,2419941,Hwigyeong 1(il)-dong,3882176
249,Seoul,2297418,Dongdaemun-gu,2419941,Hwigyeong 2(i)-dong,3882177
250,Seoul,2297418,Dongdaemun-gu,2419941,Hoegi-dong,3882166
251,Seoul,2297418,Dongdaemun-gu,2419941,Cheongnyangni-dong,3882165
252,Seoul,2297418,Dongdaemun-gu,2419941,Jangan 1(il)-dong,3882172
253,Seoul,2297418,Dongdaemun-gu,2419941,Jangan 2(i)-dong,3882173
254,Seoul,2297418,Dongdaemun-gu,2419941,Dapsimni 1(il)-dong,3882168
255,Seoul,2297418,Dongdaemun-gu,2419941,Dapsimni 2(i)-dong,3882169
256,Seoul,2297418,Dongdaemun-gu,2419941,Jeonnong 1(il)-dong,3882174
257,Seoul,2297418,Dongdaemun-gu,2419941,Jeonnong 2(i)-dong,3882175
258,Seoul,2297418,Dongdaemun-gu,2419941,Jegi-dong,3882164
259,Seoul,2297418,Dongdaemun-gu,2419941,Yongsin-dong,3882160
260,Seoul,2297418,Seongbuk-gu,2419952,Seongbuk-dong,3883193
261,Seoul,2297418,Seongbuk-gu,2419952,Samseon-dong,3883191
262,Seoul,2297418,Seongbuk-gu,2419952,Dongseon-dong,3883189
263,Seoul,2297418,Seongbuk-gu,2419952,Donam 1(il)-dong,3883201
264,Seoul,2297418,Seongbuk-gu,2419952,Donam 2(i)-dong,3883202
265,Seoul,2297418,Seongbuk-gu,2419952,Anam-dong,3883194
266,Seoul,2297418,Seongbuk-gu,2419952,Bomun-dong,3883190
267,Seoul,2297418,Seongbuk-gu,2419952,Jeongneung 1(il)-dong,3883208
268,Seoul,2297418,Seongbuk-gu,2419952,Jeongneung 2(i)-dong,3883209
269,Seoul,2297418,Seongbuk-gu,2419952,Jeongneung 3(sam)-dong,3883210
270,Seoul,2297418,Seongbuk-gu,2419952,Jeongneung 4(sa)-dong,3883211
271,Seoul,2297418,Seongbuk-gu,2419952,Gireum 1(il)-dong,3883187
272,Seoul,2297418,Seongbuk-gu,2419952,Gireum 2(i)-dong,3883200
273,Seoul,2297418,Seongbuk-gu,2419952,Jongam-dong,3883198
274,Seoul,2297418,Seongbuk-gu,2419952,Wolgok 1(il)-dong,3883203
275,Seoul,2297418,Seongbuk-gu,2419952,Wolgok 2(i)-dong,3883204
276,Seoul,2297418,Seongbuk-gu,2419952,Jangwi 1(il)-dong,3883205
277,Seoul,2297418,Seongbuk-gu,2419952,Jangwi 2(i)-dong,3883206
