,시도,중분류,시군구,소분류,읍면동,영문 표기,지명 갯수
3245,경상북도,37070.0,영천시,37070540.0,완산동,Wansan-dong in Yeongcheon-si,2
2503,전라북도,35011.0,완산구,35011770.0,완산동,Wansan-dong in Wansan-gu,2
3261,경상북도,37080.0,상주시,37080430.0,외서면,Oeseo-myeon in Sangju-si,2
2819,전라남도,36030.0,순천시,36030330.0,외서면,Oeseo-myeon in Suncheon-si,2
3131,경상북도,37020.0,경주시,37020620.0,용강동,Yonggang-dong in Gyeongju-si,2
224,서울특별시,11140.0,마포구,11140590.0,용강동,Yonggang-dong in Mapo-gu,2
2189,충청북도,33030.0,제천시,33030560.0,용두동,Yongdu-dong in Jecheon-si,2
1126,대전광역시,25020.0,중구,25020600.0,용두동,Yongdu-dong in Jung-gu in Daejeon,3
1141,대전광역시,25030.0,서구,25030560.0,용문동,Yongmun-dong in Seo-gu in Daejeon,3
43,서울특별시,11030.0,용산구,11030590.0,용문동,Yongmun-dong in Yongsan-gu,2
1884,경기도,31580.0,양평군,31580400.0,용문면,Yongmun-myeon in Yangpyeong-gun,2
3398,경상북도,37600.0,예천군,37600310.0,용문면,Yongmun-myeon in Yecheon-gun,2
2217,충청북도,33540.0,영동군,33540310.0,용산면,Yongsan-myeon in Yeongdong-gun,2
2952,전라남도,36580.0,장흥군,36580310.0,용산면,Yongsan-myeon in Jangheung-gun,2
1059,광주광역시,24040.0,북구,24040620.0,우산동,Usan-dong in Buk-gu in Gwangju,3
1082,광주광역시,24050.0,광산구,24050580.0,우산동,Usan-dong in Gwangsan-gu,2
1933,강원도,32020.0,원주시,32020610.0,우산동,Usan-dong in Wonju-si,2
551,부산광역시,21070.0,남구,21070710.0,우암동,Uam-dong in Nam-gu in Busan,3
2144,충청북도,33044.0,청원구,33044520.0,우암동,Uam-dong in Cheongwon-gu,2
2064,강원도,32560.0,철원군,32560280.0,원남면,Wonnam-myeon in Cheorwon-gun,2
2254,충청북도,33570.0,음성군,33570320.0,원남면,Wonnam-myeon in Eumseong-gun,2
2063,강원도,32560.0,철원군,32560270.0,원동면,Wondong-myeon in Cheorwon-gun,2
3619,경상남도,38100.0,양산시,38100320.0,원동면,Wondong-myeon in Yangsan-si,2
3194,경상북도,37050.0,구미시,37050750.0,원평동,Wonpyeong-dong in Gumi-si,2
1478,경기도,31070.0,평택시,31070600.0,원평동,Wonpyeong-dong in Pyeongtaek-si,2
1083,광주광역시,24050.0,광산구,24050590.0,월곡1동,Wolgok 1(il)-dong in Gwangsan-gu,2
133,서울특별시,11080.0,성북구,11080710.0,월곡1동,Wolgok 1(il)-dong in Seongbuk-gu,2
1084,광주광역시,24050.0,광산구,24050600.0,월곡2동,Wolgok 2(i)-dong in Gwangsan-gu,2
134,서울특별시,11080.0,성북구,11080720.0,월곡2동,Wolgok 2(i)-dong in Seongbuk-gu,2
1341,경기도,31021.0,수정구,31021680.0,위례동,wirye-dong in Sujeong-gu,2
425,서울특별시,11240.0,송파구,11240820.0,위례동,wirye-dong in Songpa-gu,2
1661,경기도,31180.0,하남시,31180650.0,위례동,wirye-dong in Hanam-si,2
3491,경상남도,38115.0,진해구,38115590.0,이동,I-dong in Jinhae-gu,3
1498,경기도,31091.0,상록구,31091740.0,이동,I-dong in Sangnok-gu,2
3687,경상남도,38550.0,남해군,38550310.0,이동면,Idong-myeon in Namhae-gun,2
1836,경기도,31270.0,포천시,31270380.0,이동면,Idong-myeon in Pocheon-si,2
2943,전라남도,36570.0,화순군,36570380.0,이서면,Iseo-myeon in Hwasun-gun,2
3363,경상북도,37560.0,청도군,37560340.0,이서면,Iseo-myeon in Cheongdo-gun,2
2667,전라북도,35510.0,완주군,35510330.0,이서면,Iseo-myeon in Wanju-gun,2
2495,충청남도,34580.0,태안군,34580360.0,이원면,Iwon-myeon in Taean-gun,2
2212,충청북도,33530.0,옥천군,33530360.0,이원면,Iwon-myeon in Okcheon-gun,2
1930,강원도,32020.0,원주시,32020570.0,일산동,Ilsan-dong in Wonju-si,2
1220,울산광역시,26030.0,동구,26030520.0,일산동,Ilsan-dong in Dong-gu in Ulsan,3
2597,전라북도,35040.0,정읍시,35040320.0,입암면,Ibam-myeon in Jeongeup-si,2
3342,경상북도,37540.0,영양군,37540310.0,입암면,Ibam-myeon in Yeongyang-gun,2
3466,경상남도,38113.0,마산합포구,38113580.0,자산동,Jasan-dong in Masanhappo-gu,2
