,root1_en,root1_id,root2_en,root2_id,root3_en,root3_id,nested_name
82,Seoul,2297418,Yeongdeungpo-gu,2414781,Yangpyeong 1(il)-dong,3879670,"Yangpyeong 1(il)-dong , Yeongdeungpo-gu , Seoul , Korea"
83,Seoul,2297418,Yeongdeungpo-gu,2414781,Yangpyeong 2(i)-dong,3879671,"Yangpyeong 2(i)-dong , Yeongdeungpo-gu , Seoul , Korea"
84,Seoul,2297418,Yeongdeungpo-gu,2414781,Dangsan 1(il)-dong,3879657,"Dangsan 1(il)-dong , Yeongdeungpo-gu , Seoul , Korea"
85,Seoul,2297418,Yeongdeungpo-gu,2414781,Dangsan 2(i)-dong,3879658,"Dangsan 2(i)-dong , Yeongdeungpo-gu , Seoul , Korea"
86,Seoul,2297418,Guro-gu,2414777,Sugung-dong,3880479,"Sugung-dong , Guro-gu , Seoul , Korea"
87,Seoul,2297418,Guro-gu,2414777,Oryu 1(il)-dong,3880476,"Oryu 1(il)-dong , Guro-gu , Seoul , Korea"
88,Seoul,2297418,Guro-gu,2414777,Oryu 2(i)-dong,3880477,"Oryu 2(i)-dong , Guro-gu , Seoul , Korea"
89,Seoul,2297418,Guro-gu,2414777,Gaebong 1(il)-dong,3880464,"Gaebong 1(il)-dong , Guro-gu , Seoul , Korea"
90,Seoul,2297418,Guro-gu,2414777,Gaebong 2(i)-dong,3880465,"Gaebong 2(i)-dong , Guro-gu , Seoul , Korea"
91,Seoul,2297418,Guro-gu,2414777,Gaebong 3(sam)-dong,3880466,"Gaebong 3(sam)-dong , Guro-gu , Seoul , Korea"
92,Seoul,2297418,Guro-gu,2414777,Gocheok 1(il)-dong,3880468,"Gocheok 1(il)-dong , Guro-gu , Seoul , Korea"
93,Seoul,2297418,Guro-gu,2414777,Gocheok 2(i)-dong,3880469,"Gocheok 2(i)-dong , Guro-gu , Seoul , Korea"
94,Seoul,2297418,Guro-gu,2414777,Sindorim-dong,3880480,"Sindorim-dong , Guro-gu , Seoul , Korea"
95,Seoul,2297418,Guro-gu,2414777,Guro 1(il)-dong,3880470,"Guro 1(il)-dong , Guro-gu , Seoul , Korea"
96,Seoul,2297418,Guro-gu,2414777,Guro 2(i)-dong,3880471,"Guro 2(i)-dong , Guro-gu , Seoul , Korea"
97,Seoul,2297418,Guro-gu,2414777,Guro 3(sam)-dong,3880473,"Guro 3(sam)-dong , Guro-gu , Seoul , Korea"
98,Seoul,2297418,Guro-gu,2414777,Guro 4(sa)-dong,3880474,"Guro 4(sa)-dong , Guro-gu , Seoul , Korea"
99,Seoul,2297418,Guro-gu,2414777,Guro 5(o)-dong,3880475,"Guro 5(o)-dong , Guro-gu , Seoul , Korea"
100,Seoul,2297418,Guro-gu,2414777,Garibong dong,3880463,"Garibong dong , Guro-gu , Seoul , Korea"
101,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 7(chil)-dong,3880500,"Sinwol 7(chil)-dong , Yangcheon-gu , Seoul , Korea"
102,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 6(yuk)-dong,3880499,"Sinwol 6(yuk)-dong , Yangcheon-gu , Seoul , Korea"
103,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 5(o)-dong,3880498,"Sinwol 5(o)-dong , Yangcheon-gu , Seoul , Korea"
104,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 4(sa)-dong,3880497,"Sinwol 4(sa)-dong , Yangcheon-gu , Seoul , Korea"
105,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 3(sam)-dong,3880496,"Sinwol 3(sam)-dong , Yangcheon-gu , Seoul , Korea"
106,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 2(i)-dong,3880508,"Sinwol 2(i)-dong , Yangcheon-gu , Seoul , Korea"
107,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 1(il)-dong,3880494,"Sinwol 1(il)-dong , Yangcheon-gu , Seoul , Korea"
108,Seoul,2297418,Yangcheon-gu,2414780,Mok 1(il)-dong,3880488,"Mok 1(il)-dong , Yangcheon-gu , Seoul , Korea"
109,Seoul,2297418,Yangcheon-gu,2414780,Mok 2(i)-dong,3880489,"Mok 2(i)-dong , Yangcheon-gu , Seoul , Korea"
110,Seoul,2297418,Yangcheon-gu,2414780,Mok 3(sam)-dong,3880490,"Mok 3(sam)-dong , Yangcheon-gu , Seoul , Korea"
111,Seoul,2297418,Yangcheon-gu,2414780,Mok 4(sa)-dong,3880491,"Mok 4(sa)-dong , Yangcheon-gu , Seoul , Korea"
112,Seoul,2297418,Yangcheon-gu,2414780,Mok 5(o)-dong,3880492,"Mok 5(o)-dong , Yangcheon-gu , Seoul , Korea"
113,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 7(chil)-dong,3880507,"Sinwol 7(chil)-dong , Yangcheon-gu , Seoul , Korea"
114,Seoul,2297418,Yangcheon-gu,2414780,Sinwol 6(yuk)-dong,3880506,"Sinwol 6(yuk)-dong , Yangcheon-gu , Seoul , Korea"
115,Seoul,2297418,Yangcheon-gu,2414780,Sinjeong 3(sam)-dong,3880504,"Sinjeong 3(sam)-dong , Yangcheon-gu , Seoul , Korea"
116,Seoul,2297418,Yangcheon-gu,2414780,Sinjeong 4(sa)-dong,3880505,"Sinjeong 4(sa)-dong , Yangcheon-gu , Seoul , Korea"
117,Seoul,2297418,Yangcheon-gu,2414780,Sinjeong 2(i)-dong,3880503,"Sinjeong 2(i)-dong , Yangcheon-gu , Seoul , Korea"
118,Seoul,2297418,Yangcheon-gu,2414780,Sinjeong 1(il)-dong,3880502,"Sinjeong 1(il)-dong , Yangcheon-gu , Seoul , Korea"
119,Seoul,2297418,Gangseo-gu,2414775,Hwagokbon-dong,3880557,"Hwagokbon-dong , Gangseo-gu , Seoul , Korea"
120,Seoul,2297418,Gangseo-gu,2414775,Hwagok 8(pal)-dong,3880556,"Hwagok 8(pal)-dong , Gangseo-gu , Seoul , Korea"
121,Seoul,2297418,Gangseo-gu,2414775,Hwagok 6(yuk)-dong,3880555,"Hwagok 6(yuk)-dong , Gangseo-gu , Seoul , Korea"
122,Seoul,2297418,Gangseo-gu,2414775,Hwagok 4(sa)-dong,3880554,"Hwagok 4(sa)-dong , Gangseo-gu , Seoul , Korea"
123,Seoul,2297418,Gangseo-gu,2414775,Hwagok 3(sam)-dong,3880553,"Hwagok 3(sam)-dong , Gangseo-gu , Seoul , Korea"
124,Seoul,2297418,Gangseo-gu,2414775,Hwagok 2(i)-dong,3880552,"Hwagok 2(i)-dong , Gangseo-gu , Seoul , Korea"
125,Seoul,2297418,Gangseo-gu,2414775,Hwagok 1(il)-dong,3880551,"Hwagok 1(il)-dong , Gangseo-gu , Seoul , Korea"
126,Seoul,2297418,Gangseo-gu,2414775,Ujangsan-dong,3880550,"Ujangsan-dong , Gangseo-gu , Seoul , Korea"
127,Seoul,2297418,Gangseo-gu,2414775,Yeomchang-dong,3880538,"Yeomchang-dong , Gangseo-gu , Seoul , Korea"
128,Seoul,2297418,Gangseo-gu,2414775,Deungchon 3(sam)-dong,3880549,"Deungchon 3(sam)-dong , Gangseo-gu , Seoul , Korea"
129,Seoul,2297418,Gangseo-gu,2414775,Deungchon 2(i)-dong,3880542,"Deungchon 2(i)-dong , Gangseo-gu , Seoul , Korea"
130,Seoul,2297418,Gangseo-gu,2414775,Deungchon 1(il)-dong,3880541,"Deungchon 1(il)-dong , Gangseo-gu , Seoul , Korea"
131,Seoul,2297418,Gangseo-gu,2414775,Balsan 1(il)-dong,3880525,"Balsan 1(il)-dong , Gangseo-gu , Seoul , Korea"
132,Seoul,2297418,Gangseo-gu,2414775,Gayang 3(sam)-dong,3880537,"Gayang 3(sam)-dong , Gangseo-gu , Seoul , Korea"
133,Seoul,2297418,Gangseo-gu,2414775,Gayang 2(i)-dong,3880536,"Gayang 2(i)-dong , Gangseo-gu , Seoul , Korea"
134,Seoul,2297418,Gangseo-gu,2414775,Gayang 1(il)-dong,3880535,"Gayang 1(il)-dong , Gangseo-gu , Seoul , Korea"
135,Seoul,2297418,Gangseo-gu,2414775,Banghwa 2(i)-dong,3880528,"Banghwa 2(i)-dong , Gangseo-gu , Seoul , Korea"
136,Seoul,2297418,Gangseo-gu,2414775,Banghwa 3(sam)-dong,3880527,"Banghwa 3(sam)-dong , Gangseo-gu , Seoul , Korea"
137,Seoul,2297418,Gangseo-gu,2414775,Banghwa 1(il)-dong,3880526,"Banghwa 1(il)-dong , Gangseo-gu , Seoul , Korea"
138,Seoul,2297418,Gangseo-gu,2414775,Gonghang-dong,3880524,"Gonghang-dong , Gangseo-gu , Seoul , Korea"
139,Seoul,2297418,Mapo-gu,2419949,Gongdeok-dong,3884273,"Gongdeok-dong , Mapo-gu , Seoul , Korea"
140,Seoul,2297418,Mapo-gu,2419949,Daeheung-dong,3884274,"Daeheung-dong , Mapo-gu , Seoul , Korea"
141,Seoul,2297418,Mapo-gu,2419949,Dohwa-dong,3884275,"Dohwa-dong , Mapo-gu , Seoul , Korea"
142,Seoul,2297418,Mapo-gu,2419949,Mangwon 1(il)-dong,3884288,"Mangwon 1(il)-dong , Mapo-gu , Seoul , Korea"
143,Seoul,2297418,Mapo-gu,2419949,Mangwon 2(i)-dong,3884289,"Mangwon 2(i)-dong , Mapo-gu , Seoul , Korea"
144,Seoul,2297418,Mapo-gu,2419949,Sangam-dong,3884277,"Sangam-dong , Mapo-gu , Seoul , Korea"
145,Seoul,2297418,Mapo-gu,2419949,Seogang-dong,3884278,"Seogang-dong , Mapo-gu , Seoul , Korea"
146,Seoul,2297418,Mapo-gu,2419949,Seogyo-dong,3884279,"Seogyo-dong , Mapo-gu , Seoul , Korea"
147,Seoul,2297418,Mapo-gu,2419949,Seongsan 1(il)-dong,3884280,"Seongsan 1(il)-dong , Mapo-gu , Seoul , Korea"
148,Seoul,2297418,Mapo-gu,2419949,Seongsan 2(i)-dong,3884291,"Seongsan 2(i)-dong , Mapo-gu , Seoul , Korea"
149,Seoul,2297418,Mapo-gu,2419949,Sinsu-dong,3884281,"Sinsu-dong , Mapo-gu , Seoul , Korea"
150,Seoul,2297418,Mapo-gu,2419949,Ahyeon-dong,3884282,"Ahyeon-dong , Mapo-gu , Seoul , Korea"
151,Seoul,2297418,Mapo-gu,2419949,Yeonnam-dong,3884283,"Yeonnam-dong , Mapo-gu , Seoul , Korea"
152,Seoul,2297418,Mapo-gu,2419949,Yeomni-dong,3884285,"Yeomni-dong , Mapo-gu , Seoul , Korea"
153,Seoul,2297418,Mapo-gu,2419949,Yonggang-dong,3884286,"Yonggang-dong , Mapo-gu , Seoul , Korea"
154,Seoul,2297418,Mapo-gu,2419949,Hapjeong-dong,3884287,"Hapjeong-dong , Mapo-gu , Seoul , Korea"
155,Seoul,2297418,Seodaemun-gu,2419951,Chunghyeon-dong,3887534,"Chunghyeon-dong , Seodaemun-gu , Seoul , Korea"
156,Seoul,2297418,Seodaemun-gu,2419951,Cheonyeon-dong,8855694,"Cheonyeon-dong , Seodaemun-gu , Seoul , Korea"
157,Seoul,2297418,Seodaemun-gu,2419951,Bugahyeon-dong,3887530,"Bugahyeon-dong , Seodaemun-gu , Seoul , Korea"
158,Seoul,2297418,Seodaemun-gu,2419951,Sinchon-dong,3887531,"Sinchon-dong , Seodaemun-gu , Seoul , Korea"
159,Seoul,2297418,Seodaemun-gu,2419951,Yeonhui-dong,3887532,"Yeonhui-dong , Seodaemun-gu , Seoul , Korea"
160,Seoul,2297418,Seodaemun-gu,2419951,Hongje 1(il)-dong,3887543,"Hongje 1(il)-dong , Seodaemun-gu , Seoul , Korea"
161,Seoul,2297418,Seodaemun-gu,2419951,Hongje 2(i)-dong,3887544,"Hongje 2(i)-dong , Seodaemun-gu , Seoul , Korea"
162,Seoul,2297418,Seodaemun-gu,2419951,Hongje 3(sam)-dong,3887545,"Hongje 3(sam)-dong , Seodaemun-gu , Seoul , Korea"
163,Seoul,2297418,Seodaemun-gu,2419951,Hongeun 1(il)-dong,3887541,"Hongeun 1(il)-dong , Seodaemun-gu , Seoul , Korea"
164,Seoul,2297418,Seodaemun-gu,2419951,Hongeun 2(i)-dong,3887542,"Hongeun 2(i)-dong , Seodaemun-gu , Seoul , Korea"
165,Seoul,2297418,Seodaemun-gu,2419951,Namgajwa 1(il)-dong,3887537,"Namgajwa 1(il)-dong , Seodaemun-gu , Seoul , Korea"
166,Seoul,2297418,Seodaemun-gu,2419951,Namgajwa 2(i)-dong,3887538,"Namgajwa 2(i)-dong , Seodaemun-gu , Seoul , Korea"
167,Seoul,2297418,Seodaemun-gu,2419951,Bukgajwa 1(il)-dong,3887539,"Bukgajwa 1(il)-dong , Seodaemun-gu , Seoul , Korea"
168,Seoul,2297418,Seodaemun-gu,2419951,Bukgajwa 2(i)-dong,3887540,"Bukgajwa 2(i)-dong , Seodaemun-gu , Seoul , Korea"
169,Seoul,2297418,Eunpyeong-gu,2419942,Galhyeon 1(il)-dong,3886371,"Galhyeon 1(il)-dong , Eunpyeong-gu , Seoul , Korea"
170,Seoul,2297418,Eunpyeong-gu,2419942,Galhyeon 2(i)-dong,3886372,"Galhyeon 2(i)-dong , Eunpyeong-gu , Seoul , Korea"
171,Seoul,2297418,Eunpyeong-gu,2419942,Gusan-dong,3886361,"Gusan-dong , Eunpyeong-gu , Seoul , Korea"
